Property Code,Owner / Broker,Owner Name,Number,City,Loatlity,Actucally Locaion,Property Type,Sqft Areas,Price,Potral,possession
Q88008572,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-814-sq-ft-spid-Q88008572,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-814-sq-ft-spid-Q88008572,Bandra,Bandra East,Ten BKC,2 BHK Flat for rent,814 sqft,₹2 Lac /month,99acres,N/A
F87947648,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-shapoorji-pallonji-bkc-28-kherwadi-western-mumbai-686-sq-ft-spid-F87947648,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-shapoorji-pallonji-bkc-28-kherwadi-western-mumbai-686-sq-ft-spid-F87947648,Bandra,Kherwadi,Shapoorji Pallonji BKC 28,2 BHK Flat for rent,686 sqft,₹1 Lac /month,99acres,N/A
L87886194,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-shapoorji-pallonji-bkc-28-bandra-east-western-mumbai-712-sq-ft-spid-L87886194,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-shapoorji-pallonji-bkc-28-bandra-east-western-mumbai-712-sq-ft-spid-L87886194,Bandra,Bandra East,Shapoorji Pallonji BKC 28,2 BHK Flat for rent,712 sqft,₹1.2 Lac /month,99acres,N/A
G86727166,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-mangal-kunj-bandra-west-western-mumbai-1400-sq-ft-spid-G86727166,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-mangal-kunj-bandra-west-western-mumbai-1400-sq-ft-spid-G86727166,Bandra,Bandra West,Mangal Kunj,3 BHK Flat for rent,"1,400 sqft",₹1.8 Lac /month,99acres,N/A
H87830000,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kanakia-paris-bandra-kurla-complex-western-mumbai-980-sq-ft-spid-H87830000,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kanakia-paris-bandra-kurla-complex-western-mumbai-980-sq-ft-spid-H87830000,Bandra,Bandra Kurla Complex,Kanakia Paris,3 BHK Flat for rent,980 sqft,₹1.65 Lac /month,99acres,N/A
I87775670,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-rustomjee-oriana-gandhi-nagar-western-mumbai-1816-sq-ft-spid-I87775670,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-rustomjee-oriana-gandhi-nagar-western-mumbai-1816-sq-ft-spid-I87775670,Bandra,Gandhi Nagar,Rustomjee Oriana,3 BHK Flat for rent,"1,816 sqft",₹1.9 Lac /month,99acres,N/A
R87731270,Owner,https://www.99acres.com/studio-apartment-flat-for-rent-in-bandra-west-western-mumbai-150-sq-ft-spid-R87731270,https://www.99acres.com/studio-apartment-flat-for-rent-in-bandra-west-western-mumbai-150-sq-ft-spid-R87731270,Bandra,Bandra West,Clarion Co-op Hsg Society,Studio Apartments / 1 RK Flats for rent,150 sqft,"₹27,500 /month",99acres,N/A
O87648480,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-shapoorji-pallonji-bkc-28-bandra-east-western-mumbai-720-sq-ft-spid-O87648480,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-shapoorji-pallonji-bkc-28-bandra-east-western-mumbai-720-sq-ft-spid-O87648480,Bandra,Bandra East,Shapoorji Pallonji BKC 28,2 BHK Flat for rent,720 sqft,"₹90,000 /month",99acres,N/A
E87595750,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kalpataru-magnus-bandra-east-western-mumbai-1150-sq-ft-spid-E87595750,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kalpataru-magnus-bandra-east-western-mumbai-1150-sq-ft-spid-E87595750,Bandra,Bandra East,Kalpataru Magnus,3 BHK Flat for rent,"1,150 sqft",₹1.6 Lac /month,99acres,N/A
P87511782,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-patel-nav-palmyra-pali-village-western-mumbai-900-sq-ft-spid-P87511782,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-patel-nav-palmyra-pali-village-western-mumbai-900-sq-ft-spid-P87511782,Bandra,Pali Village,Patel Nav Palmyra,3 BHK Flat for rent,900 sqft,₹1.8 Lac /month,99acres,N/A
R87445870,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-1350-sq-ft-spid-R87445870,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-1350-sq-ft-spid-R87445870,Bandra,Bandra East,Ten BKC,3 BHK Flat for rent,"1,350 sqft",₹2.75 Lac /month,99acres,N/A
S87440006,Owner,https://www.99acres.com/studio-apartment-flat-for-rent-in-waroda-apartments-bandra-west-western-mumbai-300-sq-ft-spid-S87440006,https://www.99acres.com/studio-apartment-flat-for-rent-in-waroda-apartments-bandra-west-western-mumbai-300-sq-ft-spid-S87440006,Bandra,Bandra West,Waroda Apartments,Studio Apartments / 1 RK Flats for rent,300 sqft,"₹36,000 /month",99acres,N/A
